timestamp,event,text,ocr_conf,prob,kw_count,sensitive_score,url_score,length,caps_ratio,token_div
2025-11-29T10:05:28.253078,ocr_only,Your Account Has Been Locked X = + e mail.google.com/mail/u/0/2ogbl#inbox/F MfcgzQdzcpNQzrxfghRXTZpjZPrqVbV Ill   Gmail Search mail   8   & Bi: @ Compose Your Account Has Been Locked inbox x @ Inbox 483 xe Starred Affaf Ahmad <affafahmadd@gmail.com> tome ~ Sent D Dratts Your account has been temporarily locked due to suspicious logit Verify your information to regain access: 25 Verify Now: http://example-phish.test/verify More Failure to verify may cause data loss. Support Team Labels +,82,0,0.82,0,0.0,0.0,0.938,0.09164969450101833,0.746268656716418
2025-11-29T10:05:29.230602,ocr_only,Search mail 4   @ 4S Your Account Has Been Locked inbox x Affaf Ahmad <affafahmadd@gmail.com> tome Your account has been temporarily locked due to suspicious login attempts. Verify your information to regain access Verify Now: http://example-phish.test/verity Failure to verify may cause data loss. Support Team,87,0,0.87,0,0.0,0.0,0.61,0.05144694533762058,0.7777777777777778
2025-11-29T10:05:30.236892,ocr_only,le.com/mail/u/0/?ogbl#inbox/FMfcgzQdzcpNQzrfghRXTZpjZPrqvbV Q_ Search mail 4   @  : Your Account Has Been Locked inbox x Affaf Ahmad <affafahmadd@gmail.com> tome Your account has been temporarily locked due to suspicious login attempts. Verify your information to regain access 5 Verify Now: http://example-phish.test/verity Failure to verify may cause data loss. Support Team,85,0,0.85,0,0.0,0.0,0.736,0.07446808510638298,0.8
2025-11-29T10:05:31.213160,ocr_only,Q_ Search mail   483 28 @   8 S&S Bi: Your Account Has Been Locked inbox x Affaf Ahmad <affafahmadd@gmail.com> tome Your account has been temporarily locked due to suspicious login attempts. Verify your information to regain access Verify Now: http://example-phish.test/verity Failure to verify may cause data loss. Support Team,86,0,0.86,0,0.0,0.0,0.638,0.057926829268292686,0.78
2025-11-29T10:05:32.227743,ocr_only,Gmail Search mail   Sompose nbox 483 Starred snoozed sent rafts >urchases 25 More le deskiop notifications for Gm: @   8 S&S Bi: Your Account Has Been Locked inbox x Affaf Ahmad <affafahmadd@gmail.com> tome Your account has been temporarily locked due to suspicious login attemp Verify your information to regain access Verify Now: http://example-phish.test/verity Failure to verify may cause data loss. Support Team,86,0,0.86,0,0.0,0.0,0.814,0.055288461538461536,0.8253968253968254
2025-11-29T10:05:33.246608,ocr_only,MITA     c 483 ad zed 5 hases 25 a notifications for Gmail. @   8 S&S Bi: Your Account Has Been Locked inbox x Affaf Ahmad <affafahmadd@gmail.com> tome Your account has been temporarily locked due to suspicious login attempts. Verify your information to regain access Verify Now: http://example-phish.test/verity Failure to verify may cause data loss. Support Team OK Nothanks X,84,0,0.84,0,0.0,0.0,0.736,0.06878306878306878,0.8
2025-11-29T10:05:34.228387,ocr_only,+ Q_ Search mail   @   8 S&S Bi: Your Account Has Been Locked inbox x Affaf Ahmad <affafahmadd@gmail.com> tome Your account has been temporarily locked due to suspicious login attempts. Verify your information to regain access Verify Now: http://example-phish.test/verity Failure to verify may cause data loss. Support Team,87,0,0.87,0,0.0,0.0,0.624,0.058823529411764705,0.7708333333333334
2025-11-29T10:05:35.266084,ocr_only,"Initializing,   Your Account Has Been Locked X = + mail.google.com/mail/u/0/?ogbl#inbox/FMfcgzOdzcpNQznxfgh  M Gmail Q_ Search mail   8   Jw @ Compose Your Account Has Beer @ Inbox 483 xe Starred Affaf Ahmad <affafahmadd@gmail.con tome ~ Sent D Dratts Your account has been temporarily lock Verify your information to regain access 25 Verify Now: http://example-phish.test/ve More Failure to verify may cause data loss. Support Team Labels + Forward",82,0,0.82,0,0.0,0.0,0.854,0.08685968819599109,0.8225806451612904
2025-11-29T10:05:36.240069,ocr_only,"Initializing, | @ Your Account Has Been Locked X = +   > G 4 Gmail Compose Inbox Starred Snoozed Sent",81,0.32191779102537277,0.81,0,0.0,0.0,0.176,0.13861386138613863,1.0
2025-11-29T10:05:37.189940,ocr_only,"Initializing, Your Account Has Been Locked X = +   > G MG Compose Inbox Starred Snoozed Sent",80,0.3223586317724597,0.8,0,0.0,0.0,0.166,0.16304347826086957,1.0
