timestamp_utc,event,x,y,active_window_title,explorer_path,uia_control_type,uia_control_name,ocr_text,label,phishing_score
2025-10-29T04:55:28.246496,snapshot,0,0,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:28.964145,snapshot,0,0,tk,,,,,0,0.0
2025-10-29T04:55:29.661048,snapshot,1513,320,tk,,,,,0,0.0
2025-10-29T04:55:30.348152,snapshot,466,116,tk,,,,,0,0.0
2025-10-29T04:55:31.028114,snapshot,463,66,tk,,,,,0,0.0
2025-10-29T04:55:31.727833,snapshot,1418,-19,tk,,,,,0,0.0
2025-10-29T04:55:32.379607,click,1762,0,tk,,,,,0,0.0
2025-10-29T04:55:32.415698,snapshot,1762,0,tk,,,,,0,0.0
2025-10-29T04:55:33.132896,snapshot,1762,0,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:33.857419,snapshot,1737,44,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:34.542193,snapshot,1754,29,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:35.109801,click,1756,29,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:35.256718,snapshot,1756,29,AI screen monitoring program - Google Chrome,,,,,0,0.0
2025-10-29T04:55:35.965006,snapshot,1756,29,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:36.669382,snapshot,1149,308,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:37.369930,snapshot,1148,255,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:38.072659,snapshot,1138,259,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:39.494714,snapshot,767,171,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:40.215373,snapshot,29,115,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:40.948713,snapshot,21,172,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:41.666970,snapshot,26,196,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:42.373300,snapshot,26,196,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:43.138634,snapshot,26,196,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:43.607192,click,26,196,C:\Windows\System32\cmd.exe - python  screen_monitor.py,,,,,0,0.0
2025-10-29T04:55:43.957040,snapshot,26,196,Program Files (x86),C:\Program Files (x86),,,,0,0.0
2025-10-29T04:55:45.066130,snapshot,26,196,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:45.841367,snapshot,26,196,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:46.608823,snapshot,26,196,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:47.429073,snapshot,444,270,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:48.171739,snapshot,426,479,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:48.904262,snapshot,429,652,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:49.651664,snapshot,1480,952,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:50.419668,snapshot,1665,1045,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:51.138917,snapshot,1696,1056,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:51.871928,snapshot,1696,1056,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:52.653693,snapshot,1844,-1,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:53.421401,snapshot,1778,2,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:54.406243,snapshot,681,255,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:55.259847,snapshot,63,780,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:55.344117,click,63,781,Local Disk (C:),C:\,,,,0,0.0
2025-10-29T04:55:55.988954,snapshot,63,781,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:55:56.736635,snapshot,63,781,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:55:57.504340,snapshot,63,781,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:55:58.251806,snapshot,748,596,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:55:58.967625,snapshot,856,904,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:55:59.701010,snapshot,823,1055,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:56:00.430077,snapshot,823,1055,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:56:01.163884,snapshot,823,1055,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
2025-10-29T04:56:01.816528,click,822,1055,Pictures,C:\Users\Malaika\OneDrive\Pictures,,,,0,0.0
